Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
235.0	 Peticiones	 113.69566479303428	 1.1	 125.06523127233773	 227.39132958606857	 5.163028992303227E-6	 5.866696303320569E-4	 1591.7393071024799	 0.05610553414773187	 1.6938175488669618	 1478.0436423094457	 0.9108106795334774	 0.9999999870773016
240.0	 Peticiones	 113.69566562214123	 1.1	 125.06523218435537	 227.39133124428247	 5.163028992329327E-6	 5.866696346102487E-4	 1591.7393187099774	 0.05610556340846781	 1.693817561218848	 1478.043653087836	 0.9547876854476639	 0.9999999943696373
245.0	 Peticiones	 113.69566598337948	 1.1	 125.06523258171744	 227.39133196675897	 5.163028992340698E-6	 5.866696364742381E-4	 1591.7393237673127	 0.056105576930210635	 1.6938175666005104	 1478.0436577839332	 0.9987647153269744	 0.9999999975468757
250.0	 Peticiones	 113.69566614076936	 1.1	 125.0652327548463	 227.39133228153872	 5.163028992345653E-6	 5.866696372863699E-4	 1591.739325970771	 0.056105583158353886	 1.6938175689452766	 1478.0436598300016	 1.0427417561628216	 0.9999999989311843
255.0	 Peticiones	 113.69566620934347	 1.1	 125.06523283027784	 227.39133241868694	 5.163028992347811E-6	 5.866696376402123E-4	 1591.7393269308086	 0.05610558601866186	 1.6938175699668812	 1478.0436607214651	 1.0867188019967828	 0.9999999995343216
260.0	 Peticiones	 113.69566623922091	 1.1	 125.06523286314301	 227.39133247844183	 5.163028992348752E-6	 5.866696377943799E-4	 1591.7393273490927	 0.05610558732881653	 1.69381757041199	 1478.043661109872	 1.1306958501061706	 0.999999999797106
265.0	 Peticiones	 113.69566625223838	 1.1	 125.06523287746224	 227.39133250447676	 5.163028992349162E-6	 5.8666963786155E-4	 1591.7393275313373	 0.05610558792749966	 1.693817570605922	 1478.043661279099	 1.1746728992495494	 0.9999999999116
270.0	 Peticiones	 113.69566625791003	 1.1	 125.06523288370104	 227.39133251582007	 5.16302899234934E-6	 5.866696378908157E-4	 1591.7393276107405	 0.05610558820047935	 1.693817570690417	 1478.0436613528304	 1.2186499488619935	 0.9999999999614845
275.0	 Peticiones	 113.69566626038115	 1.1	 125.06523288641927	 227.3913325207623	 5.163028992349418E-6	 5.866696379035667E-4	 1591.739327645336	 0.056105588324703026	 1.6938175707272314	 1478.043661384955	 1.2626269986868934	 0.999999999983219
280.0	 Peticiones	 113.69566626145782	 1.1	 125.06523288760361	 227.39133252291563	 5.1630289923494516E-6	 5.866696379091223E-4	 1591.7393276604093	 0.05610558838113054	 1.6938175707432714	 1478.0436613989516	 1.306604048607883	 0.9999999999926887
285.0	 Peticiones	 113.69566626192692	 1.1	 125.06523288811962	 227.39133252385383	 5.163028992349467E-6	 5.866696379115429E-4	 1591.7393276669768	 0.05610558840671952	 1.6938175707502598	 1478.04366140505	 1.3505810985722733	 0.9999999999968147
290.0	 Peticiones	 113.69566626213128	 1.1	 125.06523288834443	 227.39133252426257	 5.163028992349473E-6	 5.866696379125974E-4	 1591.739327669838	 0.05610558841830586	 1.6938175707533045	 1478.0436614077066	 1.394558148556242	 0.9999999999986121
295.0	 Peticiones	 113.69566626222033	 1.1	 125.06523288844237	 227.39133252444066	 5.163028992349476E-6	 5.866696379130569E-4	 1591.7393276710845	 0.05610558842354452	 1.6938175707546312	 1478.0436614088642	 1.438535198549032	 0.9999999999993953
300.0	 Peticiones	 113.69566626225912	 1.1	 125.06523288848504	 227.39133252451825	 5.163028992349477E-6	 5.86669637913257E-4	 1591.7393276716277	 0.05610558842591	 1.6938175707552092	 1478.0436614093687	 1.4825122485457929	 0.9999999999997365
